B,I_c
-10,0.0686460606061847
-9.99524705882603,0.066
-9.98405981306214,0.068
-9.98,0.0647400000011378
-9.97211645569359,0.062
-9.97211645569359,0.062
-9.96,0.06503042734918
-9.96,0.060860476188477
-9.96,0.0632271794893325
-9.95318718860164,0.062
-9.95171970802045,0.066
-9.94098086956612,0.07
-9.94,0.0672163636338192
-9.94,0.0696419047624323
-9.94,0.0703269565219229
-9.93864910179527,0.07
-9.92943684212167,0.066
-9.92738536584421,0.068
-9.92,0.0640077777753884
-9.92,0.0674062745097964
-9.92,0.0683255913980308
-9.91616708860273,0.068
-9.90843225806287,0.066
-9.9,0.0665808888893895
-9.88093731344189,0.068
-9.88,0.0680644102569795
-9.87876862743894,0.068
-9.86054949497398,0.066
-9.86,0.0659093333292373
-9.85713684198518,0.066
-9.84,0.0661550476185532
-9.82591127272566,0.068
-9.82300689660453,0.064
-9.82,0.0692041481478466
-9.82,0.0641351938011794
-9.82,0.0638813605419144
-9.81283876652423,0.068
-9.80352328767826,0.066
-9.8006601398568,0.062
-9.8,0.061917192982798
-9.791834920628,0.066
-9.78,0.0608174074068385
-9.78,0.0653786666666667
-9.78,0.067461960786075
-9.77836666667319,0.068
-9.77253099414935,0.062
-9.76746666665889,0.064
-9.76,0.0693899099104947
-9.7412993939507,0.068
-9.74,0.0676426666648535
-9.72357333336941,0.066
-9.72,0.0648088888788158
-9.71799626165354,0.066
-9.71381639342791,0.068
-9.70834938775244,0.07
-9.70544000002228,0.064
-9.7,0.0639374712643237
-9.7,0.0640549494949836
-9.7,0.0709214414414849
-9.69949629629657,0.064
-9.69168455284275,0.07
-9.6812711111384,0.068
-9.68,0.0677066666615414
-9.67902222220192,0.068
-9.66902988506221,0.074
-9.661874747462,0.072
-9.661874747462,0.072
-9.66,0.0696485925939497
-9.66,0.0714375757593992
-9.66,0.0746546666673493
-9.6518166666735,0.074
-9.64968888887198,0.072
-9.64097777777011,0.068
-9.64,0.0678266666677093
-9.63930243902996,0.068
-9.62,0.0692414117642905
-9.60894628571706,0.07
-9.60220890687909,0.074
-9.6,0.0714910476209058
-9.6,0.0729896296288475
-9.6,0.0750698039212511
-9.59633972603554,0.072
-9.58,0.0743647457628167
-9.56660000000282,0.076
-9.56,0.0768193103450023
-9.54,0.0763385185193529
-9.52,0.0771395555565483
-9.51393136093979,0.076
-9.50868514850958,0.074
-9.50160408162823,0.072
-9.50031260503754,0.07
-9.5,0.0699483333340729
-9.49975282392383,0.07
-9.49803500000626,0.072
-9.49319537572029,0.076
-9.49030718232786,0.074
-9.4847505617904,0.078
-9.48,0.0784620765017683
-9.47049887641483,0.078
-9.46,0.0773078518517796
-9.4474780141977,0.076
-9.44747350427904,0.074
-9.44,0.0725426666646187
-9.42471884055589,0.076
-9.42,0.0734956862749463
-9.42,0.0752247619058096
-9.42,0.0762214965977847
-9.4133194805358,0.074
-9.4,0.0762649275362928
-9.39454328357765,0.076
-9.38,0.0745236363663851
-9.36,0.0748161904768258
-9.35070654204632,0.076
-9.34,0.0763780858088197
-9.32,0.0771702564097313
-9.30803954372541,0.072
-9.30622978725293,0.078
-9.30622978725293,0.078
-9.30606412213015,0.076
-9.30469450550383,0.074
-9.3,0.0706180392157593
-9.3,0.0771513043443077
-9.3,0.0782602666679063
-9.29631698111704,0.078
-9.28360930233184,0.072
-9.28,0.0725748148157947
-9.27236721309749,0.072
-9.26,0.0707426666681685
-9.24839384616405,0.072
-9.24,0.0730103703689814
-9.23585736432887,0.074
-9.22,0.0753112820512295
-9.21054883721332,0.072
-9.20350322579839,0.074
-9.2,0.0712344303799453
-9.18100259739967,0.07
-9.18,0.0698161904766781
-9.17264761908864,0.07
-9.16,0.0702529523823648
-9.14,0.0710387878776189
-9.13069139073825,0.068
-9.1287606557826,0.07
-9.12,0.0672200966177302
-9.10991000000005,0.068
-9.10663999994544,0.07
-9.10428421054865,0.072
-9.10283529412196,0.074
-9.1,0.0745141333348468
-9.09815502391935,0.074
-9.0971130434935,0.07
-9.08084705867999,0.072
-9.08,0.0685422222222222
-9.07948571437048,0.072
-9.06977662337391,0.07
-9.06,0.0725196190465348
-9.05757511111453,0.072
-9.05239595960167,0.07
-9.04498055556268,0.062
-9.04498055556268,0.062
-9.04173725490467,0.068
-9.04020606061233,0.066
-9.04,0.065860512816971
-9.04,0.0609605797089928
-9.04,0.0633281481477807
-9.03697777770739,0.066
-9.03043733332205,0.062
-9.02395816993038,0.07
-9.02395816993038,0.07
-9.02,0.0663917948722279
-9.02,0.0693488172051717
-9.02,0.0710624561384871
-9.01289302325369,0.066
-9.00591627903234,0.07
-9,0.0652299999982933
-8.98,0.06523777777664
-8.97701739129724,0.068
-8.9764363636301,0.066
-8.96,0.0692425396821261
-8.95051151515333,0.068
-8.94418585859673,0.064
-8.94,0.0667431884058652
-8.94,0.0645755555566933
-8.94,0.0636630894307332
-8.93847084870512,0.064
-8.9261405405286,0.066
-8.92,0.0658335531140409
-8.91459047620471,0.066
-8.91459047620471,0.066
-8.90297414966446,0.064
-8.9,0.0631167676749783
-8.9,0.0648327619054449
-8.9,0.0667708176091693
-8.89049922481073,0.066
-8.88,0.0632213333333333
-8.86995268818753,0.064
-8.8621994100342,0.07
-8.8621994100342,0.07
-8.86,0.065814901959847
-8.86,0.0694220155028812
-8.86,0.0704142222231324
-8.85622399997651,0.066
-8.85509473683133,0.07
-8.84,0.0672290909080438
-8.83622857138992,0.064
-8.83568510637975,0.066
-8.82709759999472,0.06
-8.82709759999472,0.06
-8.82,0.0631585185180061
-8.82,0.0593122480621325
-8.82,0.0614786666657109
-8.80495510204124,0.066
-8.80495510204124,0.066
-8.8,0.0626031111106147
-8.8,0.0595403921564697
-8.8,0.0603551515156886
-8.8,0.0656762666663468
-8.8,0.0664760784308793
-8.79064137932951,0.062
-8.79028800001905,0.066
-8.7876631578698,0.06
-8.78,0.0602110144913785
-8.77233684210708,0.06
-8.76285769231416,0.058
-8.76,0.0575784397156243
-8.75542769230199,0.058
-8.74,0.0596305691072382
-8.73311515153461,0.06
-8.72297066665872,0.066
-8.72297066665872,0.066
-8.72022456142195,0.062
-8.72,0.0621066666744491
-8.72,0.0650097777825886
-8.72,0.0662034703189811
-8.71575619048621,0.066
-8.70890256409861,0.06
-8.70890256409861,0.06
-8.7,0.0622905747129093
-8.7,0.0595370666668336
-8.7,0.061157333331968
-8.69723715846788,0.062
-8.69390877193176,0.06
-8.68522051282869,0.058
-8.68,0.0606690295352076
-8.68,0.057575833332736
-8.68,0.0586786666676224
-8.67494161490035,0.058
-8.66176647397687,0.062
-8.66,0.0621787134492069
-8.655571014511,0.062
-8.655571014511,0.062
-8.6457789954408,0.064
-8.64,0.0644905426363778
-8.64,0.0611265040656033
-8.64,0.0629182905967581
-8.63126504066534,0.062
