B,I_c
-9.56,0.084382456141304
-9.54581538462901,0.086
-9.54162406014567,0.088
-9.54060937500145,0.092
-9.54060937500145,0.092
-9.540000000000001,0.0881636363630158
-9.540000000000001,0.0918790697671819
-9.540000000000001,0.0920742857145242
-9.53929411764522,0.092
-9.537981308421271,0.088
-9.52573584906975,0.086
-9.520000000000001,0.0856505747099487
-9.515323076894731,0.086
-9.50992670156282,0.088
-9.50784615382568,0.09
-9.5,0.0911826086957244
-9.49473548387984,0.09
-9.49007821229446,0.084
-9.487526315800771,0.088
-9.48,0.0862666666654255
-9.48,0.0858222222226084
-9.48,0.0829977777781874
-9.47920361991148,0.086
-9.46,0.0823191919203002
-9.45128795811868,0.084
-9.441385214011481,0.09
-9.441385214011481,0.09
-9.440000000000001,0.0854091503254284
-9.440000000000001,0.0896291666653867
-9.440000000000001,0.090515942030307
-9.438458874453971,0.09
-9.42,0.0848544217690646
-9.41013432836732,0.088
-9.403159999991601,0.086
-9.4,0.0892401826490413
-9.38,0.0889385620910812
-9.37587234041946,0.086
-9.36694545455733,0.088
-9.360000000000001,0.0843956989239356
-9.35091358026705,0.084
-9.34,0.0836651515146861
-9.33539583333086,0.084
-9.32,0.0859320261443536
-9.317737373724661,0.088
-9.317523809549591,0.086
-9.3,0.0892453900715994
-9.28874358973729,0.088
-9.281128205173491,0.086
-9.280000000000001,0.085964227640665
-9.275999999851061,0.086
-9.26,0.0865866666642637
-9.25511111110332,0.086
-9.25511111110332,0.086
-9.24429629634583,0.088
-9.24,0.0881681159453223
-9.24,0.0850933333352448
-9.24,0.0876484848419403
-9.23793939394457,0.086
-9.22861261262757,0.09
-9.222712121218791,0.092
-9.22,0.0930376811614644
-9.21541025640243,0.092
-9.2045757575712,0.088
-9.200000000000001,0.0910106995875867
-9.200000000000001,0.0883947712417167
-9.200000000000001,0.0876752688174743
-9.193836734696381,0.088
-9.181883720937561,0.086
-9.18066141733292,0.09
-9.18,0.0858388059695872
-9.18,0.0863857142871771
-9.18,0.0898833333316267
-9.17962831857897,0.09
-9.17811627906352,0.086
-9.1710315789441,0.092
-9.16246153846915,0.094
-9.16,0.0948156862747744
-9.156103225797871,0.096
-9.15135714286446,0.098
-9.14,0.0984239999999257
-9.13738271604854,0.098
-9.12400000000378,0.096
-9.120000000000001,0.0954378378364935
-9.108089552241971,0.094
-9.1,0.093231205674733
-9.09397777778306,0.094
-9.08687179484829,0.096
-9.08,0.0969403508756348
-9.07742307693416,0.096
-9.06,0.0945788235290051
-9.050043956042611,0.096
-9.040000000000001,0.0969989071032659
-9.027213389122121,0.094
-9.020000000000001,0.0964626262631253
-9.020000000000001,0.0953060606048814
-9.020000000000001,0.0932438596498055
-9.0,0.0971477124170366
-9.0,0.0942784313716798
-9.0,0.0935017543865095
-8.99271794873646,0.094
-8.98980952383978,0.092
-8.98980952383978,0.092
-8.988955974846801,0.096
-8.98,0.094516666666496
-8.98,0.0915838383827727
-8.98,0.0932484848501323
-8.97007228914317,0.092
-8.967398230090241,0.096
-8.96645783129315,0.098
-8.96,0.0984060606035782
-8.95479611652529,0.098
-8.949804878038691,0.096
-8.940000000000001,0.0947238095245154
-8.93400000001211,0.096
-8.92,0.0968566210050048
-8.91823255813679,0.094
-8.91823255813679,0.094
-8.910369230763301,0.098
-8.9,0.0988641025634724
-8.9,0.0934318840578213
-8.9,0.0949679012332269
-8.89500636942585,0.094
-8.88,0.0992213333316032
-8.874090322589021,0.098
-8.86843243241405,0.096
-8.86839408867278,0.094
-8.860000000000001,0.0930533333336064
-8.84,0.0931300000019797
-8.82,0.0928952380976901
-8.81557647057064,0.092
-8.81284210515877,0.09
-8.8,0.0898786069659187
-8.798405228767841,0.09
-8.79529166667003,0.094
-8.792257309935911,0.092
-8.78437037040177,0.096
-8.78115032678811,0.098
-8.780000000000001,0.0981543859639289
-8.77829126214654,0.098
-8.774511627866891,0.096
-8.76,0.0941090909126115
-8.75969491524393,0.094
-8.75557281551452,0.092
-8.74,0.091257407407597
-8.72155555554082,0.096
-8.72155555554082,0.096
-8.72,0.091120987652965
-8.72,0.0958406504080895
-8.72,0.0960837606829295
-8.715916666709331,0.096
-8.707422222217671,0.094
-8.700000000000001,0.0915949685535602
-8.700000000000001,0.092650505050495
-8.700000000000001,0.0952723809508562
-8.683088607592161,0.094
-8.683052631534931,0.092
-8.68,0.0926444444374661
-8.67420000007864,0.092
-8.66,0.0916946236556753
-8.651999999995011,0.09
-8.64,0.0887492063502631
-8.6282057142871,0.092
-8.624942675157241,0.09
-8.620000000000001,0.0925837398372733
-8.6170606060628,0.09
-8.61461111111374,0.088
-8.61409053498023,0.092
-8.6,0.0867248484858198
-8.58289430894121,0.088
-8.58,0.0882637037035203
-8.565886792450561,0.086
-8.565886792450561,0.086
-8.56,0.0888592592616416
-8.56,0.0856848484850441
-8.56,0.0869454545436943
-8.55303999998113,0.088
-8.548857142840841,0.086
-8.540000000000001,0.0865511111100431
-8.52654794520645,0.092
-8.52654794520645,0.092
-8.520000000000001,0.0876861111108267
-8.520000000000001,0.0913496598633951
-8.520000000000001,0.0925901234565954
-8.514775956280161,0.092
-8.506898550724431,0.088
-8.500730158733411,0.086
-8.5,0.0851238095224721
-8.5,0.0865575757590201
-8.5,0.0883051282053908
-8.498440677960781,0.086
-8.48055882353243,0.09
-8.48,0.0900527777780622
-8.47051851855133,0.088
-8.467333333178601,0.09
-8.46,0.0874083333286827
-8.443452991461681,0.084
-8.44266666660785,0.086
-8.440000000000001,0.0837007407396943
-8.438555555586401,0.086
-8.4303809523986,0.084
-8.42,0.0872723809538343
-8.4,0.0877411764700969
-8.389104294474231,0.086
-8.38589573459514,0.084
-8.38374193548999,0.082
-8.38,0.0813813333310789
-8.37346478872034,0.082
-8.360000000000001,0.0831380952381928
-8.35529870129598,0.084
-8.34532824426916,0.086
-8.34,0.086788700564636
-8.3329849246298,0.086
-8.33201355932621,0.084
-8.323999999997291,0.082
-8.32,0.0811933333353813
-8.316975000007371,0.082
-8.30093617024189,0.076
-8.30093617024189,0.076
-8.3,0.0831316666670421
-8.3,0.0759770833325227
-8.3,0.07605866666879
-8.29922807014897,0.076
-8.28759817350839,0.082
-8.280000000000001,0.0807942028990205
-8.26868027211356,0.082
-8.26,0.0831192982464612
-8.24,0.0829005128208386
-8.22,0.0822313725485755
-8.21813333339275,0.08
-8.21016666670746,0.082
-8.20781481480166,0.078
-8.200000000000001,0.0774373333336916
-8.19754954954964,0.08
-8.19448366013683,0.078
-8.18128888887694,0.084
-8.18,0.0814429629636804
-8.18,0.0838567901244457
-8.18,0.0840678362567115
-8.17483161512747,0.082
-8.16,0.0846128205131881
-8.158000000053251,0.09
-8.158000000053251,0.09
-8.14506250000251,0.084
-8.14,0.0838838709675696
-8.14,0.0895914893612991
-8.14,0.0903096774195907
-8.1380828402344,0.084
-8.137818181804871,0.086
-8.136487804874111,0.09
-8.120000000000001,0.0874972222212551
-8.100576576576941,0.086
